GSE29721,GSE49515,GSE29721|GSE49515
SPINK1,HBB,PEG10
GPC3,WBP2,CCNB1
CCL20,CREB5,IGF2BP3
SULT1C2,SH3YL1,LAPTM4B
ACSL4,ITGA10,PRC1
CDKN3,KLRD1,B3GNT5
ASPM,LTF,SGO2
TOP2A,IGIP,UHRF1
ANLN,FPR2,RRM2
CTHRC1,CTTN,RACGAP1
CDK1,KMT5B,CEP55
MMP12,NAPEPLD,CCNE2
NEK2,CIRBP,BCAT1
CENPF,TMEM140,AURKA
NUF2,FGD2,EIF5A2
COCH,EPM2AIP1,SMC4
DLGAP5,C9orf64,FANCI
CAP2,GIMAP8,SOX4
ROBO1,RNASE2,PSPH
COL15A1,P2RY12,SLC26A2
CDCA7,GIMAP1-GIMAP5,C6orf62
NCAPG,NPAS1,KLHL7
PBK,METTL13,ZNF468
TTK,CARD6,CDKN2B
FAM72A,DUSP6,DBF4
GINS1,ATG4C,KIF2A
CCNB2,PPP1R10,CENPN
ECT2,DHFR2,RGCC
UBE2T,ST8SIA4,FIGNL1
STK39,MSN,BAG2
KIF11,FEM1B,GPSM2
BUB1B,NLRC4,SMC2
DUXAP10,PSAT1,GGPS1
BUB1,MLH3,ATP6V1C1
SLC35F6,GIMAP6,STX6
SQLE,LCN2,PRTFDC1
KIF20A,DIDO1,ZNF322
DTL,HLA-DRA,ZNF718
KIF4A,LPAR5,HSPA1B
E2F8,CENPBD1,BTG3
EPPK1,LINC00324,CKAP2
FAM83D,CISH,CENPQ
NDC80,POLR2H,GPATCH2
LRRC1,POP5,CNIH4
CRNDE,CRNKL1,TMEM68
HMMR,LOC283357,DPH6
ADAMDEC1,TRIM13,TMEM267
OIP5,ZFP3,SMC3
KIF14,DCT,HINT3
FLVCR1,HMGCR,ACTL6A
RBM24,ANKRD46,CD58
CD109,RTP4,STK17A
CDC20,ZC3HAV1L,TNPO1
LYZ,ZNF260,NUDCD1
MELK,TLR7,GLS
PRKAA2,BET1,SLC35B3
RPL39L,LRIF1,PRUNE1
EDIL3,CCNA1,C12orf49
PTTG1,SLC24A3,SPTBN1
UBE2C,TLR4,STRBP
CENPW,ZNF420,EXOSC3
PLCB1,EHHADH,LOC284926
MEP1A,ADGRB1,AGPS
ESM1,ACRBP,DCAF13
NUSAP1,HIST1H4H,DCAF16
DNAJC6,CASP4,RAD1
BIRC5,CXCL5,MSI2
TRIM71,LALBA,SACS
MAD2L1,ZNF226,CSE1L
UBD,CHKB-CPT1B,RBM8A
DEPDC1B,MKKS,C10orf88
ZIC2,IL11,BLZF1
LOX,C2orf88,DBR1
SERPINI1,DSG1,STC1
DEPDC1,PLPP6,GPATCH4
ARFGEF3,UBTD2,LIMK2
KIAA0101,TP53RK,PTP4A3
IGF2BP2,PIGM,NAA50
KIF15,FAM65B,SOAT1
ITGA2,XAF1,DIEXF
FABP5,HS3ST3B1,PRCC
TRIP13,EIF2S1,TIPRL
MPP7,GIMAP1,PPIL1
FZD6,RGS18,RBM33
EZH2,C17orf80,ZC2HC1A
ASNS,CCR1,EHD4
TPX2,KBTBD7,HIST1H2BJ
HELLS,SEC62,IRF2BP2
LINC01296,RARRES3,RBM12
RAD51AP1,TNFSF10,WDR76
ZWINT,S100A3,GOLPH3L
CENPK,ARHGAP26,DLEU2
PRR11,ERI2,MCUR1
DTNA,PAQR8,CBLL1
STXBP6,ATP5S,RIF1
GTSE1,ZNF207,LSM11
RASEF,KEAP1,ZBTB9
XK,SOS1,SYNCRIP
LOC101930489,ITSN2,TXNDC9
TNFSF4,ERCC4,GMPS
KIF2C,LTB,INTS7
SPDL1,TMX2-CTNND1,CPSF2
CENPU,TLR8,DESI2
GAS2L3,RMI1,MATR3
COLEC12,C2orf42,MED20
GJC1,LOC102724951,LOC100287896
APOBEC3B,CRLF1,SMIM13
SPC25,BTN1A1,C7orf25
FOXM1,LOC100130938,MIB1
HOXA13,IFNAR1,ASXL1
MCM10,MAP3K7CL,U2SURP
MND1,ITPRIPL2,KIN
GDAP1,LOC100128751,TRMT1L
CDCA3,SLAMF6,FANCF
CDC6,SDPR,PUS7
UBE2S,KDM5A,TMEM251
TRNP1,TTC9C,ZNF765
BARD1,TTC33,GPATCH2L
TOMM40L,PGBD2,MIR22
CASC7,ZNF780A,PLA2G12A
MCM4,MFSD2B,MIR6883
SGCE,CHAC2,LOC100996412
RAB3B,POLH,AVPI1
SMYD3,ZKSCAN4,AHNAK
ATAD2,TNFAIP8L2,LOC101928419
LOXL4,GIMAP4,FAXDC2
MKI67,SH3BGRL2,N4BP2L1
NANOS1,LRIG2,MS4A6A
TTC39A,GIMAP7,PSMA5
MTFR2,BLK,SLC39A14
HJURP,ZNF585A,GADD45B
CCDC34,YIPF5,CDC37L1
PTK2,RNASEL,TTPAL
DNAH14,HIST2H4B,KLF9
CCNA2,PSMB2,EHD3
CAPG,TMEM229B,TBXA2R
CDCA5,MOB3C,ABHD6
MSH2,TMA16,NDFIP2
KIF18B,TIGD7,NCAM1
MCM2,LYST,DUSP1
RFC4,HIGD1A,ALDH5A1
SLC38A6,DCBLD2,ACOX1
FANCD2,CEACAM1,MLYCD
MAP4K4,MINOS1P1,RORA
ZNF320,FASLG,RHOB
KIF18A,PLAGL2,P2RY13
POLE2,FAM200A,CDC14B
ENAH,DCAF1,SLC27A2
E2F7,IL1B,CSRNP1
CENPE,FAM122A,ABAT
CENPL,TESPA1,LOC200772
CKS2,FADS3,CLU
MDK,ZNF818P,GABARAPL3
STIL,UNC5C,ADORA3
PRIM1,VKORC1L1,CBR4
MMP9,MGAT2,NAMPT
GMNN,FAM98B,C8B
LGALS8,MVK,SOCS2
C1orf112,PRAME,SLC31A1
DSCC1,FAM118B,MBNL2
ANP32E,CALD1,UGP2
SUCO,ALG11,AKR7A3
HOXA10,CEP19,CYP3A4
TDRKH,C16orf72,HGD
KPNA2,LOC101060747,APOC4-APOC2
SNORD77,MANEA,HBA2
DLG5,KBTBD6,STEAP4
KIF23,GBP1,ANG
CHML,MIR4656,G6PC
OSBPL3,SLC30A5,HGF
MNS1,HCG8,PPID
PRKDC,SGK223,CYP4F2
TUFT1,RAB39B,TENM1
HS2ST1,CD6,GHR
ITGA6,ZNF232,MFAP3L
ZWILCH,HSPA1L,CLEC1B
BLVRA,UBASH3A,
LOC101927705,LINS1,
PLXNC1,MSC,
TCF19,HEMGN,
LPL,LOC105371967,
B3GALNT1,SNAPC1,
MAPK13,SRSF1,
MCM8,DDX11L2,
TRIM59,BBS10,
F13A1,NMT1,
LOC101928195,ZNF200,
FBXO5,CD274,
PDS5A,TEFM,
KNTC1,SMARCA4,
UNK,KANK1,
OCLN,GLCE,
PODXL,CLCN3,
GMFB,PTAFR,
KNL1,ACSL3,
PIGC,SEC23IP,
COLCA2,DCAF7,
RSRC1,NHLRC2,
NOX4,FRMD3,
MPZL1,PITPNC1,
ZBED8,CMKLR1,
RIT1,SLC40A1,
PARPBP,DDX58,
PDCD2,ITGA7,
LRP11,APMAP,
LEF1,THAP6,
MASTL,C14orf119,
NUP155,FAM171A1,
BLM,ENPP5,
CDC7,NCOA2,
CPD,MED31,
EXO1,LRRN3,
PRMT3,SAP30L,
WHSC1,ACR,
MIR3658,KLF12,
GPR158,MYL9,
CKAP2L,AKAP8,
TAF1A,GRHL1,
TNFSF15,SPARC,
ILF2,GNG5,
FAIM,GEMIN5,
SLC6A8,UMPS,
CEP41,LYPLAL1,
ZKSCAN3,SETX,
ASRGL1,CD48,
SAE1,MDM2,
GPNMB,FHL2,
SOX9,SPX,
C9orf40,DBT,
AZI2,HSD17B1,
CD200,PLEKHA8,
HAUS3,CEP76,
SERF1B,PHF20L1,
ASPH,KCTD21,
STMN1,MCTS1,
CENPH,SRSF10,
PM20D2,HIST1H2AC,
TBCE,DHRS9,
C1orf198,MYLK,
CA12,TRIM35,
ELOVL2,ERICH1,
EGLN1,ZNF91,
SLC39A10,DCAF12,
TRAF5,ARG1,
COL4A1,GIN1,
LAMC1,ZNF84,
WDYHV1,PGM2L1,
TSEN15,AQR,
KLHL34,LOC101926921,
CACYBP,CLIC5,
CDCA7L,PHOX2B,
TBC1D31,WSB1,
RRP15,NCK1-AS1,
OTUD6B,FOXH1,
CHKA,KIAA0040,
SORT1,G3BP1,
GDPD1,SMURF2,
ADCK2,FLJ12120,
FEN1,SAMD9,
NEU1,CANT1,
EFCAB2,NUP58,
RFC3,PRMT2,
EXOC6,KCNJ15,
MCM6,EYA3,
WASF1,ANKEF1,
CENPM,GAPT,
POLR3C,ATP6V1B2,
TRPC1,MRPL33,
FLT1,GNAT1,
DLAT,EPG5,
HN1,GTF3C4,
GTPBP4,HCG27,
SPAG4,CCND3,
GJA1,RARRES1,
ZBTB41,GGT2,
SKA1,TMED7-TICAM2,
RNASEH2A,LOC401317,
C1orf43,MFSD8,
SPEF2,IDH1,
RRAGD,WDR89,
SELM,VAPB,
OLFML2B,YIPF4,
ANXA2,MRPS30,
GSTA4,PANX1,
BAIAP2L1,HAS1,
CDC23,ACKR3,
MCM3,SIGLEC9,
MCM7,STAM2,
COMMD2,CLN5,
ENSA,NAT1,
MIR1236,WDR92,
NSMCE2,QRSL1,
NREP,NCEH1,
SBF2-AS1,NFIB,
ATF7,PRR5L,
NDRG1,TTC16,
PHF19,CHRNA4,
SLAMF8,RSBN1L,
SHCBP1,IL2RG,
EEF1E1,GRSF1,
NRAS,TRAF3IP3,
PSMD4,GART,
THY1,TRBV27,
MIS18A,TUBD1,
ABCC10,GCLM,
CKAP5,LOC153682,
TMPO,POLI,
LOC100130872,STOML1,
NCAPG2,TIGIT,
IGSF3,ZBTB3,
CDKL5,SLC4A3,
TIPIN,PHAX,
PSRC1,GTF2H1,
CTDSPL2,TMEM40,
TPM4,TRIP11,
ZNF300,ZBTB44,
LARS,PLD6,
SRPK2,LHFPL2,
WDHD1,TIAM2,
RAD54B,CDC45,
TLCD1,KRCC1,
MED30,CDON,
SNHG1,OAS1,
VRK1,LCMT2,
GABPB1,RBM12B,
TP53BP2,FBXO22,
GLMP,LRRC69,
GPD2,GUCY1B3,
TARBP1,PIGV,
LMNA,SNAPC3,
COG5,CLPX,
TKT,NHSL2,
MIR15A,AKAP4,
CHEK1,NEXN,
SESTD1,BCDIN3D,
C8orf76,LOC101930115,
UEVLD,GEMIN6,
ARHGEF5,KLHDC10,
NPM1,PDE5A,
CDKN2C,NABP1,
HLTF,LOC101930416,
DHX57,SPIN3,
GORAB,TSPAN8,
ALDOA,F2RL1,
SASS6,C21orf91,
PEA15,TNFAIP6,
NUP205,DDIAS,
LOC101927137,DCLRE1C,
TMEM65,PMS2CL,
ACTG2,DHRS4-AS1,
RAD51C,TRAPPC6B,
MIR7112,PTRH2,
CKS1B,PPP4R3B,
TACC3,RPA4,
IMMP1L,FADD,
ABHD17C,LIMA1,
RUVBL1,MSRB3,
TPR,VPS8,
MSTO1,MID1,
MLLT10,PTPN4,
HDAC11,IKZF1,
TTC13,HERC4,
CPE,ABHD18,
SAC3D1,CMTR2,
RAB11FIP4,KRT2,
SF3B4,RIT2,
LOC642852,RNF14,
LPGAT1,PAX8-AS1,
SPATS2,SLC22A16,
NUP37,CHST11,
MAP4K5,TMEM60,
PAK1,WDR20,
PTGFRN,ELAC1,
TCEB1,PRKY,
ANXA2P2,TSPOAP1-AS1,
S100A10,ASXL2,
HPS3,PLA2R1,
FAM220A,CKMT2-AS1,
RBL1,MFSD4B,
YKT6,ARFIP1,
TTF2,SGMS2,
CNOT9,SH2D3C,
KIF5B,THUMPD3,
SLC50A1,BPNT1,
CSTB,CETN2,
LOC101928615,LIMS1,
METTL21A,ZC3H13,
MZT1,ETNK1,
CCT6A,KLHL9,
SNRPB,SCARNA13,
CDCA2,ZNF786,
HPS1,WDR5B,
COL21A1,OGFOD1,
IFT81,SMIM14,
TJP1,LMOD1,
HMGB2,FAM69A,
TMEM237,ZNF75D,
RCN2,FKBP5,
ZNF107,GFPT1,
PDSS1,LSM8,
MANEAL,PREPL,
ENPP4,SNX20,
MRS2,ZNF559,
LOC100288637,CYB5B,
UBE3B,GXYLT1,
UBAP2L,TAF8,
GEMIN2,NLK,
HECTD2,MLEC,
NENF,LPAR1,
BRIP1,ZNF493,
H2AFX,ADD1,
BORA,DIP2B,
HEATR1,HYLS1,
DUT,TTC22,
FAM189B,SLC35A5,
CKAP4,PWWP2A,
DNAJC9,APOBEC3G,
SSUH2,ZNF33A,
PPP1R2,UQCC1,
STIP1,ZSCAN32,
EFCAB11,TRIM56,
PHOSPHO2-KLHL23,SPTLC2,
LAMA4,CSRNP2,
LPCAT1,ASF1A,
RFX5,MFAP3,
CDC25C,ZNF227,
UCHL5,GFI1B,
TMCO3,LARP4,
C5orf34,STK38L,
HSPB1,WDR3,
RALA,PRKAA1,
CALU,IL17RA,
SNRPD1,C5orf51,
ME2,NID1,
HSP90AB1,SIAH2,
SLC1A3,DCAF10,
KNSTRN,HTR6,
KIAA1462,ZSCAN26,
DYRK2,RBM6,
SYPL1,COPB2,
PRIM2,DYNLL1,
LOC100499489,CCDC126,
PHIP,ZNF234,
VPS72,CRIPT,
MSH6,C10orf128,
HMGN4,CCDC71L,
SOCS5,VENTX,
EFCAB7,CCDC58,
TUG1,MCTP1,
ISX,LACTB2,
ZNF655,EIF4E2,
B4GALT6,ANKRD50,
IRAK1,TMEM5,
SNX27,FAM63A,
GBAP1,ERI1,
METTL18,CLC,
DENR,CRK,
TATDN1,TIRAP,
ZNF605,PIAS4,
ADAM10,NMT2,
DTYMK,TXNDC15,
DUSP12,FARSA,
DIAPH3,CD36,
ZNF678,SF3A3,
TAF5,PRMT6,
EPDR1,HRASLS,
SFR1,NDUFAF4,
CEP152,SDCBP2-AS1,
DDX39A,KRT7,
CAMSAP2,C9orf69,
DEK,STON2,
SMARCC1,CD24,
SUV39H2,LOC102724851,
ITGB3BP,LXN,
LOC401068,WDR36,
MCM3AP-AS1,LY6G6F,
MAPK9,PEAR1,
TES,AGGF1,
ZNF92,CDKL1,
CMSS1,KIF1BP,
CKLF-CMTM1,ATP5E,
MIPOL1,TRAF3,
NDE1,MYCL,
TMEM206,PURA,
TPGS2,BTBD7,
ILF3,ZNF264,
TMEM246,PTGS1,
MRPS23,PDZK1IP1,
DTNBP1,VPS41,
RFWD2,TMC6,
HSF2,NCOA5,
SPA17,METTL14,
ZNF623,SUMO1,
DUS4L,CYP11A1,
NUDT1,METTL6,
ACER3,PARP9,
PXYLP1,UGT1A1,
RPS6KC1,C6orf120,
SCAMP3,DTWD1,
YEATS2,GFPT2,
RBM3,WBSCR22,
FAM149B1,TUBB1,
CLIC1,CYP1B1,
POLA1,ZNF594,
DDX59,RAC3,
PNMA1,PNP,
KDM5B,ND6,
SAYSD1,FZD1,
FOXK1,DNAJC24,
MPV17,PITX1,
POLQ,ORC2,
MAP3K9,FCGR1CP,
ACOT8,SIK2,
NCAPH,SH3BP5L,
KPNA4,KLHDC7B,
COA6,FXR1,
NCAPD2,RSPRY1,
CCSAP,ZNF148,
APH1A,PLD1,
PPP1R9A,PLA2G4A,
MMP11,ARL10,
YWHAZ,RABIF,
BOLA2B,MBLAC2,
MPHOSPH9,YBEY,
C6orf48,MTG2,
ASCC3,CLCC1,
PDCD2L,LIX1L,
PNO1,ERVK3-1,
G2E3,GIT2,
ISG20L2,SNX2,
MAP3K13,MED8,
PFKFB2,STK38,
GINS2,SNAPC2,
SAAL1,SLFN5,
PCNA,SLC35D3,
BRAF,NPL,
AGO2,C19orf12,
CPSF6,PPHLN1,
HEY1,FKBP15,
CDCA8,NAA30,
RMI2,MSR1,
CCT5,SAMD9L,
MYO5C,POLR1B,
FLAD1,PADI2,
PRPF4B,NUP214,
C4orf46,ZNF616,
MCM5,CSTF2T,
FBLIM1,ZNF614,
UBFD1,FAM13A-AS1,
MRPL9,ZNF641,
TRMT6,NDUFAF3,
PFDN4,IRF2,
SLC25A40,GPBP1,
MTMR2,IKBIP,
NDC1,ACP2,
FBXO3,FCGR1B,
RAD51,LOC101930476,
TBL1XR1,KDSR,
BCOR,DET1,
ACBD6,YWHAG,
COMMD8,KLHL6,
TMEM209,TCN2,
TRAM1L1,SLC30A6,
FDPS,ZADH2,
COX20,RRAS2,
KIAA0196,SMIM5,
YEATS4,MIR146A,
LARP4B,YAE1D1,
MIR1248,TFPI,
DNM1L,IQGAP2,
SSR1,PLAG1,
ZSCAN16,RAB11FIP1,
SLC25A43,ZNF248,
GMCL1P1,VGLL4,
ARPP19,INTS5,
ZNF600,NHLRC3,
STAMBPL1,ERP44,
HSPA4,PSIP1,
GTF2H2C,CD79B,
HSPA13,ZFAND4,
HIKESHI,NUDT16,
AIFM2,PLRG1,
MIR6756,PAFAH1B1,
PRKCI,PCED1B,
LCOR,PLEKHF1,
FAM216A,HTR7,
BUB3,THAP5,
GTF2IRD1,LRPAP1,
ZEB1-AS1,ZNF557,
GBP2,NCOR2,
NOL7,GOSR1,
AGFG1,CRYGS,
STAM,RAB27B,
NEDD4L,PEX6,
UBE2D1,UBASH3B,
HSPE1-MOB4,MIR3671,
C17orf75,TRMT13,
CCT2,BEX3,
TREM2,TMEM184C,
CRTAP,NME3,
LOC286052,TMTC3,
BPGM,SREK1IP1,
HIST1H3E,TLR1,
P4HA2,SERAC1,
ACLY,DNAJC15,
TROAP,GCNT1,
AZIN1,ANKRD1,
LOC81691,C1GALT1C1,
SNORA17B,FBXL4,
LOC158402,TECPR2,
ZKSCAN5,NF1P9,
RAD18,WDR4,
TP53I3,GOSR2,
ZBED4,USP31,
CD2AP,AGPAT3,
EFNA4,C20orf197,
MRE11A,RAD52,
BEND3,SHQ1,
PARP12,DNM3,
MCAM,PHKA1,
ANGEL2,INIP,
ERCC8,ATG7,
DDX49,CD163,
GLRX3,P2RY1,
CEP128,AATBC,
LINC01138,FBXL17,
DSN1,APH1B,
NUP160,MYL6B,
CAPRIN1,CRLS1,
CCDC134,RNF219,
EXOC2,PPP1R3D,
TFRC,TMEM200A,
GPR137C,ENTPD4,
DNAJB11,HIF1AN,
MITD1,INHBA,
FAM83H,GPALPP1,
CBX1,PPARA,
CASK,ENOX2,
NPAS2,SCEL,
THOC2,ZNF585B,
ZNF143,CD44,
NBPF20,TMEM216,
8-Sep,PPP4R2,
LOC101928589,MON1B,
ASAP1,MRFAP1L1,
PIGF,ACSL6,
XPO5,SKP2,
DTD2,NDUFAF7,
POGK,TMEM64,
VAMP4,TMEM185A,
ZNF473,IRAK3,
STAU2,LINC00909,
UBQLN4,GPR68,
RNASE1,RAB10,
GNS,MGA,
OSTM1,ARL13B,
P2RX4,SKI,
AACS,TRIM58,
PARD3B,NIPAL3,
MIR6834,GABBR2,
RIOK1,H1FX,
LOC100506844,PGM2,
CDC73,CCDC142,
VPS45,SYNRG,
ARFGEF1,SAP30BP,
SVIP,ZNF542P,
BLOC1S4,TRIM68,
RUSC1,COG6,
CD46,RNF141,
TWF1,AP4E1,
KIAA1586,UBE2L3,
DARS2,LOC101927178,
ABI1,SLC46A2,
ZHX1-C8orf76,NLRP12,
HIST1H2AH,GBP3,
NCBP2,EDEM3,
KIAA1524,PRKAR2B,
GRK3,C6orf203,
XPR1,RAD50,
SUB1,TRNT1,
MAPK1,SNTB2,
H2AFV,SLC35B4,
RBBP5,SLC5A3,
RAP2B,ZNF146,
